date,ticker,price,close_observations,confidence,risk_reward,stop_gap,target_gap,expected_days,long_votes,return_1d,momentum_2d,vol_2d,momentum_3d,vol_3d,momentum_5d,vol_5d,signal_strength
2026-05-07,600036,37.95,1,0.7,3.9999999999999964,0.05000000000000002,0.1999999999999999,30.0,1,,,,,,,,0.7278045395879424
2026-05-08,600050,4.49,17,0.75,4.0,0.04999999999999998,0.19999999999999993,30.0,17,,,,,,,,3.2516682276331847
2026-05-10,600050,4.52,1,0.7,4.0000000000000036,0.05,0.2000000000000002,30.0,1,0.006681514476614581,,,,,,,0.7278045395879424
2026-05-11,600050,4.52,2,0.7,4.0000000000000036,0.05,0.2000000000000002,30.0,2,0.0,0.006681514476614581,0.004724544195010256,,0.004724544195010256,,0.004724544195010256,1.1535429031015152
2026-05-13,600050,4.64,1,0.75,3.1250000000000004,0.08,0.25000000000000006,30.0,1,0.026548672566371723,0.026548672566371723,0.018772746403182706,0.03340757238307335,0.013809288065773168,,0.013809288065773168,0.7797905781299383
2026-05-21,600050,4.645,4,0.75,3.799999999999998,0.05000000000000002,0.1999999999999999,60.0,4,0.0010775862068965747,0.02765486725663724,0.018010777888973047,0.02765486725663724,0.015026473568347926,,0.012333964169851986,1.8106176514883627
2026-05-23,600050,4.46,2,0.7,3.0,0.04999999999999997,0.1499999999999999,30.0,2,-0.03982777179763175,-0.0387931034482758,0.0289244560318654,-0.01327433628318575,0.033485959545800977,-0.006681514476614803,0.02413914441494211,1.1535429031015152
2026-05-23,600089,26.02,1,0.75,4.000000000000005,0.04999999999999994,0.20000000000000004,60.0,1,,,,,,,,0.7797905781299383
2026-05-10,600126,9.56,2,0.7,10.328451882845192,0.049999999999999975,0.5164225941422593,30.0,2,,,,,,,,1.1535429031015152
2026-05-11,600126,9.42,6,0.6999999999999998,2.857142857142858,0.06999999999999994,0.19999999999999996,30.0,6,-0.014644351464435212,,,,,,,2.01077382069049
2026-05-10,600183,82.0,2,0.7,0.1892034632034632,0.9268292682926829,0.17500000000000002,30.0,2,,,,,,,,0.7932790812032972
2026-05-11,600183,82.0,1,0.75,0.19680000000000006,0.9146341463414634,0.18000000000000005,30.0,1,0.0,,,,,,,0.5369118060617336
2026-05-12,600183,83.66,10,0.7,0.3407276676622319,0.8804685632321301,0.3,30.0,10,0.020243902439024408,0.020243902439024408,0.014314600692313047,,0.014314600692313047,,0.014314600692313047,1.7738467717120623
2026-05-16,600183,89.95,1,0.7,0.15882872277810467,0.9444135630906059,0.1499999999999999,30.0,1,0.07518527372699024,0.0969512195121951,0.03884941620540852,0.0969512195121951,0.038904145559664344,,0.038904145559664344,0.4980470558869461
2026-05-18,600183,89.95,2,0.7,3.999999999999997,0.050000000000000024,0.19999999999999993,30.0,2,0.0,0.07518527372699024,0.053164016897721565,0.0969512195121951,0.038904145559664344,,0.03552444724145201,1.1535429031015152
2026-05-22,600183,105.68,1,0.7,3.9999999999999947,0.05000000000000005,0.19999999999999996,45.0,1,0.1748749305169539,0.1748749305169539,0.12365524922806442,0.2632082237628497,0.08772313869936925,0.2887804878048781,0.07421425111920404,0.7278045395879424
2026-05-23,600183,108.01,4,0.73,3.999999999999992,0.05000000000000007,0.1999999999999999,45.0,4,0.022047691143073367,0.20077821011673147,0.10806517731129067,0.20077821011673147,0.09523961632175551,0.3171951219512197,0.07077440964252055,1.7623345141153397
2026-05-24,600183,108.01,1,0.65,3.5999999999999948,0.05000000000000007,0.18,90.0,1,0.0,0.022047691143073367,0.015590071916773762,0.20077821011673147,0.09523961632175551,0.2910590485297635,0.07401288071522052,0.6758185010459467
2026-05-26,600183,116.52,1,0.7,0.1915047479912344,0.9399244764847237,0.17999999999999994,45.0,1,0.07878900101842423,0.07878900101842423,0.05571223690304157,0.1025738077214231,0.04064763956367823,0.29538632573652013,0.0742826845798099,0.5006894736075912
2026-05-19,600232,8.44,4,0.7,3.0000000000000044,0.04999999999999993,0.15000000000000002,30.0,4,,,,,,,,1.6899098080558053
2026-05-07,600406,26.44,1,0.75,3.999999999999992,0.0500000000000001,0.2,30.0,1,,,,,,,,0.7797905781299383
2026-05-07,600418,49.51,1,0.7,3.6000000000000045,0.04999999999999993,0.18,30.0,1,,,,,,,,0.7278045395879424
2026-05-08,600460,29.65,4,0.75,0.18042596348884374,0.8313659359190556,0.14999999999999994,30.0,4,,,,,,,,1.2433764825788747
2026-05-14,600463,11.02,1,0.75,16.29764065335753,0.05000000000000002,0.8148820326678766,30.0,1,,,,,,,,0.7797905781299383
2026-05-13,600498,60.28,1,0.7,0.1635672937771346,0.9170537491705375,0.15000000000000002,30.0,1,,,,,,,,0.4984302507185298
2026-05-11,600501,24.81,1,0.75,3.1250000000000004,0.08,0.25000000000000006,30.0,1,,,,,,,,0.7797905781299383
2026-05-23,600563,174.2,1,0.85,0.20962695547533097,0.9540757749712974,0.20000000000000004,90.0,1,,,,,,,,0.609759600673208
2026-05-09,600570,27.66,20,0.6,0.18309796999117392,0.819233550253073,0.15000000000000002,30.0,20,,,,,,,,1.8824580504280277
2026-05-26,600570,26.15,1,0.7,2.9166666666666696,0.11999999999999994,0.35000000000000014,60.0,1,-0.05459146782357205,,,,,,,0.7210656086658321
